"","eventDate","Location","tubeNumber","macroCount","photoStart","photoEnd","Family","photoStartNum","photoEndNum"
"1",2019-03-10,"AUCA",NA,1,"26494738","26494738",NA,NA,NA
"2",2019-03-10,"AUCA",NA,2,"26494879","26494879",NA,NA,NA
"3",2019-03-10,"AUCA",NA,3,"26495612","26495612",NA,NA,NA
"4",2019-03-10,"AUCA",NA,4,"26495936","26495936",NA,NA,NA
"5",2019-03-10,"AUCA",NA,5,"26496389","26496389",NA,NA,NA
"6",2019-03-10,"AUCA",NA,6,"26496667","26496667",NA,NA,NA
"7",2019-03-10,"AUCA",NA,7,"26497028","26497028",NA,NA,NA
"8",2019-04-07,"AUCA",NA,1,"DSCN6465","DSCN6468",NA,NA,NA
"9",2019-04-07,"AUCA",NA,2,"DSCN6469","DSCN6472",NA,NA,NA
"10",2019-04-07,"AUCA",NA,3,"DSCN6473","DSCN6476",NA,NA,NA
"11",2019-04-07,"AUCA",NA,4,"DSCN6477","DSCN6480",NA,NA,NA
"12",2019-04-07,"AUCA",NA,5,"DSCN6481","DSCN6484",NA,NA,NA
"13",2019-04-07,"AUCA",NA,6,"DSCN6485","DSCN6488",NA,NA,NA
"14",2019-04-07,"AUCA",NA,7,"DSCN6489","DSCN6492",NA,NA,NA
"15",2019-04-07,"AUCA",NA,8,"DSCN6493","DSCN6496",NA,NA,NA
"16",2019-04-07,"AUCA",NA,9,"DSCN6497","DSCN6500",NA,NA,NA
"17",2019-04-21,"AUCA",NA,1,"DSCN6575","DSCN6578",NA,NA,NA
"18",2019-04-21,"AUCA",NA,2,"DSCN6582","DSCN6585",NA,NA,NA
"19",2019-04-21,"AUCA",NA,3,"DSCN6586","DSCN6589",NA,NA,NA
"20",2019-04-21,"AUCA",NA,4,"DSCN6597","DSCN6600",NA,NA,NA
"21",2019-04-21,"AUCA",NA,5,"DSCN6605","DSCN6608",NA,NA,NA
"22",2019-04-21,"AUCA",NA,6,"DSCN6617","DSCN6620",NA,NA,NA
"23",2019-04-21,"AUCA",NA,7,"DSCN6631","DSCN6634",NA,NA,NA
"24",2019-03-16,"AUCA",NA,1,"DSCN6794","DSCN6795",NA,NA,NA
"25",2019-03-16,"AUCA",NA,2,"DSCN6796","DSCN6797",NA,NA,NA
"26",2019-03-16,"AUCA",NA,3,"DSCN6798","DSCN6799",NA,NA,NA
"27",2019-03-16,"AUCA",NA,4,"DSCN6800","DSCN6802",NA,NA,NA
"28",2019-03-16,"AUCA",NA,5,"DSCN6803","DSCN6804",NA,NA,NA
"29",2019-03-16,"AUCA",NA,6,"DSCN6813","DSCN6814",NA,NA,NA
"30",2019-03-16,"AUCA",NA,7,"DSCN6815","DSCN6816",NA,NA,NA
"31",2019-03-16,"AUCA",NA,8,"DSCN6829","DSCN6830",NA,NA,NA
"32",2019-03-16,"AUCA",NA,9,"DSCN6831","DSCN6832",NA,NA,NA
"33",2019-03-16,"AUCA",NA,10,"DSCN6833","DSCN6834",NA,NA,NA
"34",2019-03-16,"AUCA",NA,11,"DSCN6843","DSCN6844",NA,NA,NA
"35",2019-03-16,"AUCA",NA,12,"DSCN6845","DSCN6847",NA,NA,NA
"36",2019-03-16,"AUCA",NA,13,"DSCN6848","DSCN6849",NA,NA,NA
"37",2019-03-16,"AUCA",NA,14,"DSCN6850","DSCN6851",NA,NA,NA
"38",2019-03-16,"AUCA",NA,15,"DSCN6864","DSCN6865",NA,NA,NA
"39",2019-03-16,"AUCA",NA,16,"DSCN6870","DSCN6871",NA,NA,NA
"40",2019-03-16,"AUCA",NA,17,"DSCN6872","DSCN6873",NA,NA,NA
"41",2019-03-16,"AUCA",NA,18,"DSCN6895","DSCN6896",NA,NA,NA
"42",2019-03-16,"AUCA",NA,19,"DSCN6899","DSCN6900","Notodontidae",6899,6900
"43",2019-03-16,"AUCA",NA,20,"DSCN6901","DSCN6902",NA,NA,NA
"44",2019-03-16,"AUCA",NA,21,"DSCN6911","DSCN6914",NA,NA,NA
"45",2019-03-16,"AUCA",NA,22,"DSCN6915","DSCN6916",NA,NA,NA
"46",2019-03-16,"AUCA",NA,23,"DSCN6917","DSCN6918","Notodontidae",6917,6918
"47",2019-03-16,"AUCA",NA,24,"DSCN6935","DSCN6936",NA,NA,NA
"48",2019-03-16,"AUCA",NA,25,"DSCN6937","DSCN6938","Notodontidae",6937,6938
"49",2019-03-16,"AUCA",NA,26,"DSCN6971","DSCN6973",NA,NA,NA
"50",2019-03-16,"AUCA",NA,27,"DSCN6974","DSCN6975",NA,NA,NA
"51",2019-03-16,"AUCA",NA,28,"DSCN6976","DSCN6977",NA,NA,NA
"52",2019-03-16,"AUCA",NA,29,"DSCN6978","DSCN6979",NA,NA,NA
"53",2019-03-16,"AUCA",NA,30,"DSCN6980","DSCN6981",NA,NA,NA
"54",2019-03-16,"AUCA",NA,31,"DSCN6982","DSCN6983",NA,NA,NA
"55",2019-03-10,"BACA",NA,1,"26506828","26506828",NA,NA,NA
"56",2019-03-10,"BACA",NA,2,"26507094","26507094",NA,NA,NA
"57",2019-03-10,"BACA",NA,3,"26507225","26507225",NA,NA,NA
"58",2019-03-16,"BACA",NA,1,"26515796","26515796",NA,NA,NA
"59",2019-03-24,"BACA",NA,1,"DSCN5244","DSCN5249",NA,NA,NA
"60",2019-03-24,"BACA",NA,2,"DSCN5250","DSCN5255",NA,NA,NA
"61",2019-03-24,"BACA",NA,3,"DSCN5256","DSCN5260",NA,NA,NA
"62",2019-04-07,"BACA",NA,1,"26514589","26514589",NA,NA,NA
"63",2019-04-07,"BACA",NA,2,"26514804","26514804",NA,NA,NA
"64",2019-04-14,"BACA",NA,1,"26440285","26440285",NA,NA,NA
"65",2019-04-14,"BACA",NA,2,"26440542","26440542",NA,NA,NA
"66",2019-04-28,"BACA",NA,1,"25630020","25630020",NA,NA,NA
"67",2019-04-28,"BACA",NA,2,"25630260","25630260",NA,NA,NA
"68",2019-04-28,"BACA",NA,3,"25631246","25631246",NA,NA,NA
"69",2019-05-04,"BACA",NA,1,"IMG_1420","IMG_1423",NA,NA,NA
"70",2019-05-22,"BACA",NA,1,"DSCN6792","DSCN6793",NA,NA,NA
"71",2019-03-10,"BIVA",NA,1,"DSCN5360","DSCN5362",NA,NA,NA
"72",2019-03-10,"BIVA",NA,2,"DSCN5415","DSCN5420",NA,NA,NA
"73",2019-03-10,"BIVA",NA,3,"DSCN5421","DSCN5425",NA,NA,NA
"74",2019-03-10,"BIVA",NA,4,"DSCN5426","DSCN5427",NA,NA,NA
"75",2019-03-10,"BIVA",NA,5,"DSCN5428","DSCN5430",NA,NA,NA
"76",2019-03-10,"BIVA",NA,6,"DSCN5431","DSCN5432",NA,NA,NA
"77",2019-03-10,"BIVA",NA,7,"DSCN5437","DSCN5441",NA,NA,NA
"78",2019-03-10,"BIVA",NA,8,"DSCN5464","DSCN5472",NA,NA,NA
